seed,accuracy,n_correct,first50,last50
42,85.71428571428571,600,62.0,94.0
43,85.57142857142857,599,50.0,92.0
44,68.14285714285714,477,52.0,84.0
45,81.42857142857143,570,40.0,90.0
46,84.0,588,38.0,92.0
47,81.14285714285714,568,60.0,88.0
48,85.57142857142857,599,60.0,80.0
49,85.14285714285714,596,48.0,96.0
50,87.0,609,66.0,96.0
51,91.42857142857143,640,62.0,98.0
