seed,accuracy,n_correct
42,69.71428571428572,488
43,69.0,483
44,57.57142857142858,403
45,69.28571428571428,485
46,69.71428571428572,488
47,66.28571428571428,464
48,73.71428571428571,516
49,70.42857142857143,493
50,72.0,504
51,81.57142857142857,571
