t,v
4.500000000000000000e+00,1.919999999999999929e+00
4.599999999999999645e+00,1.989999999999999991e+00
4.699999999999999289e+00,1.959999999999999964e+00
4.799999999999998934e+00,1.959999999999999964e+00
4.899999999999998579e+00,1.939999999999999947e+00
4.999999999999998224e+00,1.919999999999999929e+00
5.099999999999997868e+00,1.939999999999999947e+00
5.199999999999997513e+00,1.909999999999999920e+00
5.299999999999997158e+00,1.879999999999999893e+00
5.399999999999996803e+00,1.949999999999999956e+00
5.499999999999996447e+00,1.959999999999999964e+00
5.599999999999996092e+00,1.949999999999999956e+00
5.699999999999995737e+00,1.840000000000000080e+00
5.799999999999995381e+00,1.889999999999999902e+00
5.899999999999995026e+00,1.870000000000000107e+00
5.999999999999994671e+00,1.810000000000000053e+00
6.099999999999994316e+00,1.780000000000000027e+00
6.199999999999993960e+00,1.750000000000000000e+00
6.299999999999993605e+00,1.879999999999999893e+00
6.399999999999993250e+00,1.889999999999999902e+00
6.499999999999992895e+00,2.029999999999999805e+00
6.599999999999992539e+00,1.780000000000000027e+00
6.699999999999992184e+00,1.739999999999999991e+00
6.799999999999991829e+00,1.620000000000000107e+00
6.899999999999991473e+00,1.719999999999999973e+00
6.999999999999991118e+00,1.820000000000000062e+00
7.099999999999990763e+00,1.780000000000000027e+00
7.199999999999990408e+00,1.810000000000000053e+00
7.299999999999990052e+00,1.919999999999999929e+00
7.399999999999989697e+00,1.810000000000000053e+00
7.499999999999989342e+00,1.850000000000000089e+00
7.599999999999988987e+00,1.770000000000000018e+00
7.699999999999988631e+00,1.620000000000000107e+00
7.799999999999988276e+00,1.560000000000000053e+00
7.899999999999987921e+00,1.580000000000000071e+00
7.999999999999987566e+00,1.560000000000000053e+00
8.099999999999987210e+00,1.610000000000000098e+00
8.199999999999986855e+00,1.570000000000000062e+00
8.299999999999986500e+00,1.520000000000000018e+00
8.399999999999986144e+00,1.550000000000000044e+00
8.499999999999985789e+00,1.489999999999999991e+00
8.599999999999985434e+00,1.479999999999999982e+00
8.699999999999985079e+00,1.550000000000000044e+00
8.799999999999984723e+00,1.540000000000000036e+00
