condition,dominance_mean,dominance_median,dominance_sd,stability,entropy_mean,entropy_sd,n_trials,n_zero_spikes
baseline,1.5954258675078865,1.5,0.7238970968870487,0.15164520743919885,0.39810544352404414,0.6137334789355727,700,93
gate,3.213830845771144,2.0,2.4144112289276958,0.17882689556509299,1.3756225597469875,0.5969483951026443,700,2
ac_pre,1.8537517006802722,1.5,0.922678451340532,0.15021459227467812,2.479535843185371,0.4340349850463163,700,1
ac_post,1.4697278911564626,1.2,0.6040837314022806,0.14878397711015737,3.018072462067672,0.2451380550437382,700,1
